Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
4;12;Sainte-Avoie;1;Apres 1990;meublé;32.2;38.6;22.5;2019;PARIS;7510312
11;68;Epinettes;3;Apres 1990;meublé;23.1;27.7;16.2;2019;PARIS;7511768
14;45;Bel-Air;3;1946-1970;non meublé;18.3;22.0;12.8;2019;PARIS;7511245
2;15;Arsenal;2;Apres 1990;meublé;29.9;35.9;20.9;2019;PARIS;7510415
4;19;Val-de-Grace;3;Avant 1946;meublé;27.8;33.4;19.5;2019;PARIS;7510519
2;13;Saint-Merri;1;1946-1970;meublé;35.9;43.1;25.1;2019;PARIS;7510413
2;15;Arsenal;3;1971-1990;meublé;25.1;30.1;17.6;2019;PARIS;7510415
4;14;Saint-Gervais;3;1946-1970;non meublé;21.4;25.7;15.0;2019;PARIS;7510414
11;54;Parc-de-Montsouris;2;1946-1970;non meublé;22.1;26.5;15.5;2019;PARIS;7511454
6;58;Necker;4;Apres 1990;meublé;26.7;32.0;18.7;2019;PARIS;7511558
2;24;Saint-Germain-des-Prés;1;1946-1970;meublé;35.9;43.1;25.1;2019;PARIS;7510624
5;52;Croulebarbe;3;1971-1990;meublé;24.1;28.9;16.9;2019;PARIS;7511352
14;47;Bercy;3;Avant 1946;non meublé;20.2;24.2;14.1;2019;PARIS;7511247
2;21;Monnaie;2;Avant 1946;non meublé;27.9;33.5;19.5;2019;PARIS;7510621
2;24;Saint-Germain-des-Prés;2;1946-1970;non meublé;26.6;31.9;18.6;2019;PARIS;7510624
13;74;Pont-de-Flandre;4;Avant 1946;meublé;22.3;26.8;15.6;2019;PARIS;7511974
11;48;Quinze-Vingts;3;Avant 1946;non meublé;22.6;27.1;15.8;2019;PARIS;7511248
10;44;Sainte-Marguerite;1;Avant 1946;meublé;32.2;38.6;22.5;2019;PARIS;7511144
9;46;Picpus;4;1971-1990;non meublé;18.9;22.7;13.2;2019;PARIS;7511246
11;41;Folie-Méricourt;1;Avant 1946;meublé;31.3;37.6;21.9;2019;PARIS;7511141
5;2;Halles;3;Apres 1990;non meublé;23.6;28.32;16.52;2020;PARIS;7510102
2;1;St-Germain-l'Auxerrois;2;Apres 1990;non meublé;26.7;32.04;18.69;2020;PARIS;7510101
2;1;St-Germain-l'Auxerrois;4;1971-1990;non meublé;22.2;26.64;15.54;2020;PARIS;7510101
4;11;Archives;1;1971-1990;meublé;32.9;39.5;23.0;2019;PARIS;7510311
5;2;Halles;4;1946-1970;meublé;24.3;29.16;17.01;2020;PARIS;7510102
2;3;Palais-Royal;4;Avant 1946;non meublé;25.6;30.72;17.92;2020;PARIS;7510103
2;5;Gaillon;4;Apres 1990;non meublé;26.2;31.44;18.34;2020;PARIS;7510205
2;3;Palais-Royal;4;1971-1990;non meublé;22.2;26.64;15.54;2020;PARIS;7510103
4;7;Mail;3;Avant 1946;meublé;28.3;33.96;19.81;2020;PARIS;7510207
4;6;Vivienne;2;Apres 1990;non meublé;25.4;30.48;17.78;2020;PARIS;7510206
4;6;Vivienne;4;1971-1990;non meublé;22.9;27.48;16.03;2020;PARIS;7510206
4;6;Vivienne;3;1971-1990;non meublé;24.1;28.92;16.87;2020;PARIS;7510206
4;9;Arts-et-Metiers;3;Avant 1946;non meublé;25.0;30.0;17.5;2020;PARIS;7510309
4;9;Arts-et-Metiers;2;Avant 1946;meublé;31.3;37.56;21.91;2020;PARIS;7510309
4;11;Archives;2;1971-1990;non meublé;22.7;27.24;15.89;2020;PARIS;7510311
2;15;Arsenal;2;1946-1970;meublé;30.2;36.24;21.14;2020;PARIS;7510415
